Movie Title,Director,Genre,Release Year
Should Ladies Behave,Harry Beaumont,"Comedy, Drama, Romance",1933
Made on Broadway,Harry Beaumont,"Drama, Comedy",1933
When Ladies Meet,Harry Beaumont,"Comedy, Romance",1933
Murder in the Private Car,Harry Beaumont,"Mystery, Romance, Comedy",1934
Enchanted April,Harry Beaumont,"Comedy, Drama, Romance",1935
The Girl on the Front Page,Harry Beaumont,"Drama, Comedy",1936
When's Your Birthday?,Harry Beaumont,Comedy,1937
Maisie Goes to Reno,Harry Beaumont,"Comedy, Romance",1944
Twice Blessed,Harry Beaumont,Comedy,1945
Up Goes Maisie,Harry Beaumont,"Comedy, Romance",1946
The Show-Off,Harry Beaumont,Comedy,1946
Undercover Maisie,Harry Beaumont,"Crime, Mystery, Comedy",1947
Alias a Gentleman,Harry Beaumont,"Comedy, Romance",1948
O Fabuloso Fittipaldi,Hector Babenco,Documentary,1973
King of the Night,Hector Babenco,"Drama, Romance",1975
Lucio Flavio,Hector Babenco,"Crime, Drama",1977
Pixote,Hector Babenco,"Crime, Drama",1980
Kiss of the Spider Woman,Hector Babenco,Drama,1985
Ironweed,Hector Babenco,Drama,1987
At Play in the Fields of the Lord,Hector Babenco,"Drama, Romance",1991
Foolish Heart,Hector Babenco,Drama,1998
Carandiru,Hector Babenco,Drama,2003
The Past,Hector Babenco,"Drama, Romance",2007
Words with Gods,Hector Babenco,"Drama, Comedy",2014
My Hindu Friend,Hector Babenco,Drama,2016
Flesh and Blood,Irving Cummings,Crime,1922
Broken Hearts of Broadway,Irving Cummings,Drama,1923
East Side - West Side,Irving Cummings,Drama,1923
The Rose of Paris,Irving Cummings,"Drama, Romance",1924
Fools Highway,Irving Cummings,Drama,1924
As Man Desires,Irving Cummings,"Action, Adventure, Drama",1925
Infatuation,Irving Cummings,Drama,1925
The Desert Flower,Irving Cummings,Western,1925
The Country Beyond,Irving Cummings,Drama,1926
The Johnstown Flood,Irving Cummings,Drama,1926
Bertha the Sewing Machine Girl,Irving Cummings,"Adventure, Drama, Romance",1926
In Old Arizona,Irving Cummings,Western,1928
Romance of the Underworld,Irving Cummings,Drama,1928
Dressed to Kill,Irving Cummings,"Comedy, Crime",1928
The Port of Missing Girls,Irving Cummings,Drama,1928
Behind That Curtain,Irving Cummings,"Crime, Mystery, Thriller",1929
A Devil with Women,Irving Cummings,Adventure,1930
On the Level,Irving Cummings,"Action, Comedy, Crime",1930
Cameo Kirby,Irving Cummings,Drama,1930
A Holy Terror,Irving Cummings,"Western, Action, Adventure",1931
The Cisco Kid,Irving Cummings,Western,1931
The Night Club Lady,Irving Cummings,Mystery,1932
Attorney for the Defense,Irving Cummings,Drama,1932
Man Against Woman,Irving Cummings,"Crime, Action",1932
The Mad Game,Irving Cummings,"Crime, Drama",1933
The Woman I Stole,Irving Cummings,"Adventure, Action",1933
Man Hunt,Irving Cummings,Mystery,1933
The White Parade,Irving Cummings,Drama,1934
Grand Canary,Irving Cummings,Drama,1934
I Believed in You,Irving Cummings,Drama,1934
Curly Top,Irving Cummings,"Family, Music, Comedy",1935
It's A Small World,Irving Cummings,"Romance, Comedy",1935
Poor Little Rich Girl,Irving Cummings,"Adventure, Family, Music",1936
Girls Dormitory,Irving Cummings,"Drama, Romance",1936
White Hunter,Irving Cummings,Adventure,1936
Vogues of 1938,Irving Cummings,"Comedy, Romance, Music",1937
Merry Go Round of 1938,Irving Cummings,"Comedy, Romance, Music",1937
Just Around the Corner,Irving Cummings,"Comedy, Music",1938
Little Miss Broadway,Irving Cummings,"Drama, Family, Music",1938
The Story of Alexander Graham Bell,Irving Cummings,"Drama, History",1939
Hollywood Cavalcade,Irving Cummings,"Comedy, Drama, History",1939
Everything Happens at Night,Irving Cummings,"Comedy, Drama",1939
Down Argentine Way,Irving Cummings,"Comedy, Drama, Music, Romance",1940
Lillian Russell,Irving Cummings,"Drama, Music",1940
That Night in Rio,Irving Cummings,"Comedy, Music, Romance",1941
Belle Starr,Irving Cummings,Western,1941
Louisiana Purchase,Irving Cummings,"Comedy, Music",1941
Springtime in the Rockies,Irving Cummings,"Music, Romance, Comedy",1942
My Gal Sal,Irving Cummings,"Comedy, Music, Romance",1942
What a Woman,Irving Cummings,"Comedy, Romance",1943
Sweet Rosie O'Grady,Irving Cummings,Music,1943
The Impatient Years,Irving Cummings,"Comedy, Romance, Drama",1944
The Dolly Sisters,Irving Cummings,"Romance, Music, Drama",1945
Double Dynamite,Irving Cummings,"Comedy, Adventure, Music, Romance",1951
Piranha II: The Spawning,James Cameron,Horror,1982
The Terminator,James Cameron,"Action, Thriller, Science Fiction",1984
Aliens,James Cameron,"Action, Thriller, Science Fiction",1986
The Abyss,James Cameron,"Adventure, Action, Thriller, Science Fiction",1989
Terminator 2: Judgment Day,James Cameron,"Action, Thriller, Science Fiction",1991
True Lies,James Cameron,"Action, Thriller",1994
Titanic,James Cameron,"Drama, Romance",1997
Expedition: Bismarck,James Cameron,"Documentary, TV Movie",2002
Ghosts of the Abyss,James Cameron,Documentary,2003
Aliens of the Deep,James Cameron,Documentary,2005
Avatar,James Cameron,"Action, Adventure, Fantasy, Science Fiction",2009
Avatar: The Way of Water,James Cameron,"Science Fiction, Adventure, Action",2022
The Householder,James Ivory,Drama,1963
Shakespeare-Wallah,James Ivory,"Drama, Romance",1965
The Guru,James Ivory,Comedy,1969
Bombay Talkie,James Ivory,"Drama, Romance",1970
Savages,James Ivory,"Fantasy, Drama, Comedy",1972
Adventures of a Brown Man in Search of Civilization,James Ivory,"TV Movie, Documentary",1972
The Wild Party,James Ivory,"Comedy, Drama",1975
Autobiography of a Princess,James Ivory,"Drama, History",1975
Roseland,James Ivory,"Drama, Romance",1977
Hullabaloo Over Georgie and Bonnie's Pictures,James Ivory,Drama,1978
The Europeans,James Ivory,"Drama, Romance",1979
The Five Forty-Eight,James Ivory,"Drama, TV Movie",1979
Jane Austen in Manhattan,James Ivory,"Drama, Romance",1980
Quartet,James Ivory,"Drama, Romance",1981
Heat and Dust,James Ivory,"Drama, Romance",1983
The Bostonians,James Ivory,"Drama, Romance",1984
A Room with a View,James Ivory,"Drama, Romance",1986
Maurice,James Ivory,"Drama, Romance",1987
Slaves of New York,James Ivory,Drama,1989
Mr. & Mrs. Bridge,James Ivory,Drama,1990
Howards End,James Ivory,"Drama, Romance",1992
The Remains of the Day,James Ivory,"Drama, Romance",1993
Jefferson in Paris,James Ivory,"Drama, Romance, History",1995
Surviving Picasso,James Ivory,"Drama, Romance",1996
A Soldier's Daughter Never Cries,James Ivory,Drama,1998
The Golden Bowl,James Ivory,"Romance, Drama",2000
Le Divorce,James Ivory,"Drama, Romance, Comedy",2003
The White Countess,James Ivory,"Drama, History, Family, Romance, War",2005
The City of Your Final Destination,James Ivory,Drama,2009
A Cooler Climate,James Ivory,Documentary,2022
Two Friends,Jane Campion,"Drama, TV Movie",1986
Sweetie,Jane Campion,"Drama, Comedy",1989
An Angel at My Table,Jane Campion,Drama,1990
The Piano,Jane Campion,"Drama, Romance",1993
The Portrait of a Lady,Jane Campion,"Drama, Romance",1996
Holy Smoke,Jane Campion,"Comedy, Drama",1999
In the Cut,Jane Campion,"Drama, Mystery, Thriller",2003
Le court des grands,Jane Campion,,2005
Bright Star,Jane Campion,"Drama, Romance",2009
The Power of the Dog,Jane Campion,"Drama, Western",2021
Thank You for Smoking,Jason Reitman,"Comedy, Drama",2005
Juno,Jason Reitman,"Comedy, Drama, Romance",2007
Up in the Air,Jason Reitman,"Drama, Romance",2009
Young Adult,Jason Reitman,"Comedy, Drama",2011
Labor Day,Jason Reitman,"Drama, Romance, Thriller",2013
"Men, Women & Children",Jason Reitman,"Drama, Comedy",2014
Tully,Jason Reitman,"Comedy, Drama",2018
The Front Runner,Jason Reitman,"Drama, History",2018
Ghostbusters: Afterlife,Jason Reitman,"Fantasy, Comedy, Adventure, Science Fiction",2021
My Left Foot: The Story of Christy Brown,Jim Sheridan,Drama,1989
The Field,Jim Sheridan,Drama,1990
In the Name of the Father,Jim Sheridan,Drama,1993
The Boxer,Jim Sheridan,"Drama, Romance",1997
In America,Jim Sheridan,Drama,2003
Get Rich or Die Tryin',Jim Sheridan,"Drama, Crime, Music",2005
Brothers,Jim Sheridan,"Drama, Thriller, War",2009
Dream House,Jim Sheridan,"Mystery, Drama, Thriller",2011
The Secret Scripture,Jim Sheridan,"Drama, Romance",2017
Peter O'Toole: Along the Sky Road to Aqaba,Jim Sheridan,Documentary,2022
Blood Simple,Joel Coen,"Crime, Drama, Thriller",1985
Raising Arizona,Joel Coen,"Comedy, Crime",1987
Barton Fink,Joel Coen,"Comedy, Drama",1991
The Hudsucker Proxy,Joel Coen,Comedy,1994
Fargo,Joel Coen,"Crime, Drama, Thriller",1996
The Big Lebowski,Joel Coen,"Comedy, Crime",1998
"O Brother, Where Art Thou?",Joel Coen,"Adventure, Comedy, Crime",2000
The Man Who Wasn't There,Joel Coen,"Crime, Drama",2001
Intolerable Cruelty,Joel Coen,"Comedy, Romance",2003
The Tragedy of Macbeth,Joel Coen,"Drama, War",2021
Catch Us If You Can,John Boorman,"Comedy, Music",1965
Point Blank,John Boorman,"Crime, Thriller",1967
Hell in the Pacific,John Boorman,"Drama, War",1968
Leo the Last,John Boorman,"Drama, Comedy",1970
Deliverance,John Boorman,"Drama, Adventure, Thriller",1972
Zardoz,John Boorman,"Fantasy, Action, Thriller, Science Fiction",1974
Exorcist II: The Heretic,John Boorman,"Drama, Horror, Thriller",1977
Excalibur,John Boorman,"Adventure, Fantasy",1981
The Emerald Forest,John Boorman,"Action, Adventure, Drama",1985
Hope and Glory,John Boorman,"Drama, War, Family",1987
Where the Heart Is,John Boorman,"Comedy, Drama",1990
Beyond Rangoon,John Boorman,"Drama, Thriller",1995
The General,John Boorman,"Crime, Drama",1998
Lee Marvin: A Personal Portrait by John Boorman,John Boorman,Documentary,1998
The Tailor of Panama,John Boorman,"Drama, Thriller",2001
In My Country,John Boorman,"Romance, Drama",2004
The Tiger's Tail,John Boorman,"Drama, Comedy, Crime",2006
Queen & Country,John Boorman,Drama,2015
Bucking Broadway,John Ford,"Western, Romance",1917
Straight Shooting,John Ford,Western,1917
Three Mounted Men,John Ford,,1918
Roped,John Ford,"Comedy, Western",1919
A Fight For Love,John Ford,Western,1919
Bare Fists,John Ford,Western,1919
Riders of Vengeance,John Ford,Western,1919
The Outcasts of Poker Flat,John Ford,Western,1919
The Ace of the Saddle,John Ford,Western,1919
Rider of the Law,John Ford,Western,1919
Silver Wings,John Ford,Drama,1922
Hoodman Blind,John Ford,Drama,1923
The Face on the Barroom Floor,John Ford,Drama,1923
The Iron Horse,John Ford,Western,1924
Hearts of Oak,John Ford,"Romance, Drama",1924
Lightnin',John Ford,Comedy,1925
Kentucky Pride,John Ford,Drama,1925
The Fighting Heart,John Ford,"Romance, Drama",1925
Thank You,John Ford,"Drama, Comedy",1925
3 Bad Men,John Ford,"Romance, Western",1926
The Blue Eagle,John Ford,"Drama, Action",1926
The Shamrock Handicap,John Ford,"Romance, Drama",1926
Upstream,John Ford,"Comedy, Drama",1927
Mother Machree,John Ford,Drama,1927
Four Sons,John Ford,"War, Drama",1928
Hangman's House,John Ford,"Thriller, Drama, Romance",1928
Riley the Cop,John Ford,Comedy,1928
Salute,John Ford,"Drama, Romance",1929
The Black Watch,John Ford,"Drama, Adventure, War",1929
Strong Boy,John Ford,"Drama, Comedy",1929
Up the River,John Ford,"Comedy, Crime",1930
Born Reckless,John Ford,"Crime, Comedy, Drama, War, Romance",1930
Men Without Women,John Ford,"Drama, Action",1930
Arrowsmith,John Ford,Drama,1931
Seas Beneath,John Ford,"Action, Drama, War",1931
The Brat,John Ford,Comedy,1931
Air Mail,John Ford,"Adventure, Drama",1932
Flesh,John Ford,"Drama, Romance",1932
Doctor Bull,John Ford,"Comedy, Drama",1933
Pilgrimage,John Ford,"Drama, War, Romance",1933
Judge Priest,John Ford,"Comedy, Drama, Romance",1934
The Lost Patrol,John Ford,"Action, War",1934
The World Moves On,John Ford,"Drama, History, Romance, War",1934
The Informer,John Ford,"Crime, Drama",1935
The Whole Town's Talking,John Ford,"Comedy, Crime",1935
Steamboat Round the Bend,John Ford,"Comedy, Drama, Romance",1935
Mary of Scotland,John Ford,"Drama, History, Romance",1936
The Prisoner of Shark Island,John Ford,"Drama, History",1936
The Plough and the Stars,John Ford,Drama,1936
Wee Willie Winkie,John Ford,"Adventure, Family",1937
The Hurricane,John Ford,"Action, Adventure, Drama, Romance",1937
Four Men and a Prayer,John Ford,"Adventure, Mystery",1938
Submarine Patrol,John Ford,"Adventure, Drama",1938
Stagecoach,John Ford,"Western, Adventure",1939
Young Mr. Lincoln,John Ford,"Drama, History",1939
Drums Along the Mohawk,John Ford,"Drama, History, War",1939
The Grapes of Wrath,John Ford,Drama,1940
The Long Voyage Home,John Ford,"Drama, War",1940
How Green Was My Valley,John Ford,Drama,1941
Tobacco Road,John Ford,"Comedy, Drama",1941
Undercover: How to Operate Behind Enemy Lines,John Ford,"Documentary, War",1943
They Were Expendable,John Ford,"Drama, War",1945
My Darling Clementine,John Ford,"Western, Romance, Drama",1946
The Fugitive,John Ford,Drama,1947
3 Godfathers,John Ford,Western,1948
Fort Apache,John Ford,Western,1948
She Wore a Yellow Ribbon,John Ford,Western,1949
Rio Grande,John Ford,Western,1950
Wagon Master,John Ford,"Adventure, Western",1950
When Willie Comes Marching Home,John Ford,"Comedy, War",1950
What Price Glory,John Ford,"Drama, Comedy, Romance, War",1952
The Quiet Man,John Ford,"Romance, Comedy, Drama",1952
Mogambo,John Ford,"Adventure, Drama, Romance",1953
The Sun Shines Bright,John Ford,"Comedy, Drama",1953
The Long Gray Line,John Ford,"Comedy, Drama",1955
Mister Roberts,John Ford,"Comedy, Drama, War",1955
The Searchers,John Ford,Western,1956
The Wings of Eagles,John Ford,"Drama, War",1957
The Rising of the Moon,John Ford,Comedy,1957
Gideon's Day,John Ford,"Crime, Drama, Comedy",1958
The Last Hurrah,John Ford,Drama,1958
The Horse Soldiers,John Ford,"Western, War",1959
Sergeant Rutledge,John Ford,Western,1960
The Colter Craven Story:,John Ford,,1960
Two Rode Together,John Ford,Western,1961
How the West Was Won,John Ford,Western,1962
The Man Who Shot Liberty Valance,John Ford,Western,1962
Donovan's Reef,John Ford,"Adventure, Comedy, Romance",1963
Cheyenne Autumn,John Ford,Western,1964
7 Women,John Ford,"Drama, History",1965
The Maltese Falcon,John Huston,"Mystery, Crime, Thriller",1941
In This Our Life,John Huston,"Drama, Romance",1942
Across the Pacific,John Huston,"Adventure, Thriller, Drama",1942
Let There Be Light,John Huston,"Documentary, War",1946
The Treasure of the Sierra Madre,John Huston,"Adventure, Drama, Western",1948
Key Largo,John Huston,"Crime, Thriller",1948
We Were Strangers,John Huston,"Drama, Thriller, Adventure, Romance",1949
The Asphalt Jungle,John Huston,"Crime, Drama",1950
The Red Badge of Courage,John Huston,War,1951
The African Queen,John Huston,"Romance, Adventure",1952
Moulin Rouge,John Huston,Drama,1952
Beat the Devil,John Huston,"Adventure, Comedy",1953
Moby Dick,John Huston,"Adventure, Drama",1956
"Heaven Knows, Mr. Allison",John Huston,"Adventure, War, Drama",1957
The Barbarian and the Geisha,John Huston,"Drama, Romance",1958
The Roots of Heaven,John Huston,"Adventure, Drama",1958
The Unforgiven,John Huston,"Western, Drama, Romance",1960
The Misfits,John Huston,"Western, Drama, Romance",1961
Freud: The Secret Passion,John Huston,Drama,1962
The List of Adrian Messenger,John Huston,"Mystery, Thriller",1963
The Night of the Iguana,John Huston,"Drama, Romance",1964
The Bible: In the Beginning...,John Huston,"Adventure, History, Drama",1966
Reflections in a Golden Eye,John Huston,"Drama, Romance, Thriller",1967
Casino Royale,John Huston,"Adventure, Action, Comedy",1967
A Walk with Love and Death,John Huston,"Adventure, Drama, History, Romance, War",1969
Sinful Davey,John Huston,"Crime, Adventure, Comedy",1969
The Kremlin Letter,John Huston,"Thriller, Action",1970
The Last Run,John Huston,"Crime, Thriller",1971
The Life and Times of Judge Roy Bean,John Huston,"Western, Comedy",1972
Fat City,John Huston,Drama,1972
The MacKintosh Man,John Huston,Thriller,1973
The Man Who Would Be King,John Huston,"Adventure, Drama",1975
Wise Blood,John Huston,"Comedy, Drama",1979
Phobia,John Huston,"Thriller, Horror",1980
Escape to Victory,John Huston,"Drama, War",1981
Annie,John Huston,"Comedy, Drama, Family",1982
Under the Volcano,John Huston,Drama,1984
Prizzi's Honor,John Huston,"Romance, Comedy, Crime",1985
The Dead,John Huston,Drama,1987
Wings,John Madden,Drama,1983
Poppyland,John Madden,"Romance, Drama, TV Movie",1985
A Wreath of Roses,John Madden,"Drama, TV Movie",1987
The Widowmaker,John Madden,"Drama, Crime",1990
Ethan Frome,John Madden,"Drama, Romance",1993
Golden Gate,John Madden,"Crime, Drama",1994
Meat,John Madden,"Drama, Crime, TV Movie",1994
Truth or Dare,John Madden,"Action, Thriller, TV Movie",1996
Mrs Brown,John Madden,"Drama, History, Romance",1997
Shakespeare in Love,John Madden,"Romance, History, Comedy",1998
Captain Corelli's Mandolin,John Madden,"Drama, Romance, War",2001
Proof,John Madden,"Drama, Mystery",2005
Killshot,John Madden,"Crime, Drama, Thriller",2008
The Debt,John Madden,"Drama, Thriller",2010
The Best Exotic Marigold Hotel,John Madden,"Drama, Comedy",2012
The Second Best Exotic Marigold Hotel,John Madden,"Drama, Comedy",2015
Miss Sloane,John Madden,"Drama, Crime",2016
Operation Mincemeat,John Madden,"War, History, Drama",2022
Boyz n the Hood,John Singleton,"Crime, Drama",1991
Poetic Justice,John Singleton,"Drama, Romance",1993
Higher Learning,John Singleton,"Drama, Crime",1995
Michael Jackson Video Greatest Hits: HIStory,John Singleton,Music,1995
Rosewood,John Singleton,"Drama, History, Action, Thriller",1997
Shaft,John Singleton,"Action, Adventure, Crime, Thriller",2000
Baby Boy,John Singleton,"Crime, Drama, Romance, Thriller",2001
2 Fast 2 Furious,John Singleton,"Action, Crime, Thriller",2003
Four Brothers,John Singleton,"Action, Crime",2005
Marion Jones: Press Pause,John Singleton,Documentary,2010
Abduction,John Singleton,"Thriller, Action, Mystery",2011
Caged Heat,Jonathan Demme,Action,1974
Crazy Mama,Jonathan Demme,"Crime, Action, Comedy",1975
Fighting Mad,Jonathan Demme,"Drama, Action, Crime",1976
Citizens Band,Jonathan Demme,Comedy,1977
Last Embrace,Jonathan Demme,"Thriller, Mystery, Romance",1979
Melvin and Howard,Jonathan Demme,"Comedy, Drama",1980
Who Am I This Time?,Jonathan Demme,"Drama, Romance, TV Movie",1982
Stop Making Sense,Jonathan Demme,"Documentary, Music",1984
Swing Shift,Jonathan Demme,"Drama, Romance, War",1984
Something Wild,Jonathan Demme,"Crime, Comedy, Romance",1986
Swimming to Cambodia,Jonathan Demme,Comedy,1987
Married to the Mob,Jonathan Demme,"Comedy, Crime, Romance",1988
Haiti: Dreams of Democracy,Jonathan Demme,Documentary,1988
Red Hot + Blue: A Tribute to Cole Porter,Jonathan Demme,Music,1990
The Silence of the Lambs,Jonathan Demme,"Crime, Drama, Thriller",1991
Cousin Bobby,Jonathan Demme,Documentary,1992
Philadelphia,Jonathan Demme,Drama,1993
Subway Stories,Jonathan Demme,"TV Movie, Comedy, Drama",1997
Storefront Hitchcock,Jonathan Demme,"Documentary, Music",1998
Beloved,Jonathan Demme,"Drama, Thriller, Horror",1998
Bruce Springsteen: The Complete Video Anthology 1978-2000,Jonathan Demme,Music,2001
The Truth About Charlie,Jonathan Demme,"Thriller, Mystery",2002
The Manchurian Candidate,Jonathan Demme,"Drama, Thriller, Mystery",2004
The Agronomist,Jonathan Demme,Documentary,2004
Neil Young: Heart of Gold,Jonathan Demme,"Documentary, Music",2006
Jimmy Carter: Man from Plains,Jonathan Demme,Documentary,2007
Rachel Getting Married,Jonathan Demme,"Drama, Romance",2008
Neil Young Trunk Show,Jonathan Demme,"Music, Documentary",2009
I'm Carolyn Parker,Jonathan Demme,Documentary,2011
Neil Young Journeys,Jonathan Demme,"Music, Documentary",2012
Enzo Avitabile Music Life,Jonathan Demme,Documentary,2013
A Master Builder,Jonathan Demme,Drama,2014
Ricki and the Flash,Jonathan Demme,"Comedy, Drama, Music",2015
Justin Timberlake + The Tennessee Kids,Jonathan Demme,"Music, Documentary",2016
Sexy Beast,Jonathan Glazer,"Crime, Drama, Thriller",2001
Massive Attack: Eleven Promos,Jonathan Glazer,Music,2001
Birth,Jonathan Glazer,"Drama, Mystery",2004
The Work of Director Jonathan Glazer,Jonathan Glazer,Music,2005
Under the Skin,Jonathan Glazer,"Thriller, Science Fiction, Drama",2014
The Zone of Interest,Jonathan Glazer,"Drama, War, History",2023
Get Out,Jordan Peele,"Mystery, Thriller, Horror",2017
Us,Jordan Peele,"Horror, Thriller",2019
Nope,Jordan Peele,"Horror, Science Fiction, Mystery",2022
The Salvation Hunters,Josef von Sternberg,Drama,1925
The Masked Bride,Josef von Sternberg,"Drama, Romance",1925
The Exquisite Sinner,Josef von Sternberg,"Drama, Romance",1926
A Woman of the Sea,Josef von Sternberg,,1926
Underworld,Josef von Sternberg,"Drama, Crime, Romance",1927
It,Josef von Sternberg,"Comedy, Romance",1927
The Docks of New York,Josef von Sternberg,"Drama, Romance",1928
The Drag Net,Josef von Sternberg,"Crime, Drama",1928
Thunderbolt,Josef von Sternberg,"Crime, Drama",1929
The Case of Lena Smith,Josef von Sternberg,Drama,1929
The Blue Angel,Josef von Sternberg,Drama,1930
Morocco,Josef von Sternberg,"Drama, Romance",1930
Dishonored,Josef von Sternberg,"Drama, War, Romance",1931
An American Tragedy,Josef von Sternberg,"Crime, Drama, Romance",1931
Shanghai Express,Josef von Sternberg,"Drama, Romance, War, Crime, History",1932
Blonde Venus,Josef von Sternberg,Drama,1932
The Scarlet Empress,Josef von Sternberg,"Drama, History, Romance",1934
The Devil Is a Woman,Josef von Sternberg,"Comedy, Drama, Romance, History",1935
Crime and Punishment,Josef von Sternberg,"Crime, Drama",1935
The King Steps Out,Josef von Sternberg,"Music, Romance",1936
Sergeant Madden,Josef von Sternberg,"Crime, Drama",1939
The Shanghai Gesture,Josef von Sternberg,Drama,1941
Macao,Josef von Sternberg,"Adventure, Drama, Romance, Crime",1952
Anatahan,Josef von Sternberg,"Drama, War",1953
Jet Pilot,Josef von Sternberg,"Action, Adventure, Romance",1957
Dragonwyck,Joseph L. Mankiewicz,"Drama, Romance, Thriller",1946
Somewhere in the Night,Joseph L. Mankiewicz,"Mystery, Thriller",1946
The Ghost and Mrs. Muir,Joseph L. Mankiewicz,"Romance, Fantasy, Drama",1947
The Late George Apley,Joseph L. Mankiewicz,Comedy,1947
Escape,Joseph L. Mankiewicz,Thriller,1948
House of Strangers,Joseph L. Mankiewicz,"Drama, Crime, Thriller",1949
A Letter to Three Wives,Joseph L. Mankiewicz,"Romance, Drama, Mystery",1949
All About Eve,Joseph L. Mankiewicz,Drama,1950
No Way Out,Joseph L. Mankiewicz,"Drama, Crime, Thriller",1950
People Will Talk,Joseph L. Mankiewicz,"Comedy, Romance, Drama",1951
5 Fingers,Joseph L. Mankiewicz,"Thriller, Drama",1952
Julius Caesar,Joseph L. Mankiewicz,"Drama, History",1953
The Barefoot Contessa,Joseph L. Mankiewicz,Drama,1954
Guys and Dolls,Joseph L. Mankiewicz,"Comedy, Crime, Romance",1955
The Quiet American,Joseph L. Mankiewicz,"Drama, Romance, War",1958
"Suddenly, Last Summer",Joseph L. Mankiewicz,"Thriller, Drama, Mystery",1959
Carol for Another Christmas,Joseph L. Mankiewicz,"TV Movie, Drama, Fantasy",1964
The Honey Pot,Joseph L. Mankiewicz,"Comedy, Mystery, Crime",1967
There Was a Crooked Man...,Joseph L. Mankiewicz,Western,1970
King: A Filmed Record... Montgomery to Memphis,Joseph L. Mankiewicz,Documentary,1970
Sleuth,Joseph L. Mankiewicz,"Thriller, Mystery, Crime, Comedy",1972
Basquiat,Julian Schnabel,"Drama, History",1996
Before Night Falls,Julian Schnabel,Drama,2000
The Diving Bell and the Butterfly,Julian Schnabel,"Drama, History",2007
Lou Reed's Berlin,Julian Schnabel,"Music, Documentary",2007
Miral,Julian Schnabel,"Drama, History",2010
At Eternity's Gate,Julian Schnabel,Drama,2018
Solférino,Justine Triet,Documentary,2009
Shadows in the House,Justine Triet,Documentary,2010
Age of Panic,Justine Triet,"Comedy, Drama",2013
In Bed with Victoria,Justine Triet,"Comedy, Drama, Romance",2016
Sibyl,Justine Triet,Drama,2019
Anatomy of a Fall,Justine Triet,"Thriller, Mystery, Crime",2023
The Loveless,Kathryn Bigelow,Drama,1984
Near Dark,Kathryn Bigelow,Horror,1987
Blue Steel,Kathryn Bigelow,Thriller,1990
Point Break,Kathryn Bigelow,"Action, Thriller, Crime",1991
Strange Days,Kathryn Bigelow,"Crime, Drama, Science Fiction, Thriller",1995
The Weight of Water,Kathryn Bigelow,"Mystery, Drama, Thriller",2001
K-19: The Widowmaker,Kathryn Bigelow,"Drama, History, Thriller, Mystery, War",2002
The Hurt Locker,Kathryn Bigelow,"Drama, Thriller, War",2008
Zero Dark Thirty,Kathryn Bigelow,"Thriller, Drama",2012
Detroit,Kathryn Bigelow,"Crime, Drama, Thriller, History",2017
"Twelfth Night, or What You Will",Kenneth Branagh,"Drama, Comedy, Romance, TV Movie",1988
Henry V,Kenneth Branagh,"War, Drama, History",1989
Dead Again,Kenneth Branagh,"Mystery, Drama, Crime",1991
Peter's Friends,Kenneth Branagh,"Comedy, Drama",1992
Much Ado About Nothing,Kenneth Branagh,"Drama, Comedy, Romance",1993
Mary Shelley's Frankenstein,Kenneth Branagh,"Drama, Horror, Science Fiction, Romance",1994
In the Bleak Midwinter,Kenneth Branagh,Comedy,1995
Hamlet,Kenneth Branagh,Drama,1996
Love's Labour's Lost,Kenneth Branagh,"Comedy, Music, Romance",2000
The Magic Flute,Kenneth Branagh,"Comedy, Drama, Music",2006
As You Like It,Kenneth Branagh,"Comedy, Drama, Romance",2006
Thor,Kenneth Branagh,"Adventure, Fantasy, Action",2011
Jack Ryan: Shadow Recruit,Kenneth Branagh,"Action, Drama, Thriller",2014
Cinderella,Kenneth Branagh,"Romance, Fantasy, Family, Drama",2015
Branagh Theatre Live: The Winter's Tale,Kenneth Branagh,Drama,2015
Branagh Theatre Live: Romeo and Juliet,Kenneth Branagh,"Drama, Romance",2016
Murder on the Orient Express,Kenneth Branagh,"Mystery, Drama, Crime",2017
All Is True,Kenneth Branagh,"Drama, History",2018
Artemis Fowl,Kenneth Branagh,"Adventure, Fantasy, Science Fiction, Family, Action",2020
Belfast,Kenneth Branagh,"Drama, History",2021
Death on the Nile,Kenneth Branagh,"Mystery, Crime, Thriller",2022
A Haunting in Venice,Kenneth Branagh,"Mystery, Thriller, Crime",2023
You Can Count on Me,Kenneth Lonergan,Drama,2000
Margaret,Kenneth Lonergan,Drama,2011
Manchester by the Sea,Kenneth Lonergan,Drama,2016
Dances with Wolves,Kevin Costner,"Adventure, Drama, Western",1990
The Postman,Kevin Costner,"Science Fiction, Adventure, Action, War",1997
Open Range,Kevin Costner,"Western, Action, Romance, Drama",2003
Horizon: An American Saga – Chapter 1,Kevin Costner,"Western, Drama",2024
Horizon: An American Saga – Chapter 2,Kevin Costner,"Western, Drama",2024
The Other Half,King Vidor,Drama,1919
Better Times,King Vidor,Drama,1919
The Jack-Knife Man,King Vidor,Drama,1920
The Sky Pilot,King Vidor,"Drama, Western",1921
Love Never Dies,King Vidor,Drama,1921
Peg o' My Heart,King Vidor,"Comedy, Drama",1922
The Real Adventure,King Vidor,Drama,1922
Three Wise Fools,King Vidor,Comedy,1923
Wild Oranges,King Vidor,"Drama, Romance",1924
Wine of Youth,King Vidor,"Comedy, Drama",1924
The Wife of the Centaur,King Vidor,Drama,1924
